"id","appID","timestamp","action","user_id","lite"
"26","4","2017-10-18 14:42:24.631+00","none()","28","f"
"27","5","2017-10-18 14:43:40.35+00","breakApproaching(45)","28","f"
"28","6","2017-10-18 14:51:29.089+00","none()","28","f"
"29","7","2017-10-18 14:52:44.653+00","breakDue(55)","28","f"
"30","8","2017-10-18 14:59:17.815+00","none()","28","f"
"31","9","2017-10-18 15:05:19.814+00","none()","28","f"
"32","10","2017-10-18 16:29:35.198+00","breakApproaching(45)","28","f"
"33","11","2017-10-18 16:35:08.434+00","none()","28","f"
"34","12","2017-10-18 16:36:24.309+00","breakApproaching(45)","28","f"
"35","13","2017-10-18 16:44:44.126+00","breakDue(55)","28","f"
"36","14","2017-10-18 16:50:17.406+00","none()","28","f"
"37","15","2017-10-18 16:51:33.242+00","breakDue(55)","28","f"
"38","16","2017-10-18 16:59:38.176+00","breakOverdue(60)","28","f"
"39","17","2017-10-18 17:00:08.609+00","none()","28","f"
"40","32","2017-10-19 12:06:41.365+00","none()","27","f"
"41","33","2017-10-19 14:17:46.928+00","breakApproaching(45)","27","f"
"42","34","2017-10-19 14:26:16.544+00","none()","27","f"
"43","35","2017-10-19 14:26:17.093+00","breakApproaching(45)","27","f"
"44","36","2017-10-19 14:26:31.172+00","pause(""2017-10-19T14:26:31.156Z/2017-10-19T14:31:31.156Z"", 5)","27","f"
"45","37","2017-10-19 14:31:31.157+00","unpause(""2017-10-19T14:26:31.156Z/2017-10-19T14:31:31.156Z"", 5)","27","f"
"46","38","2017-10-19 14:34:50.982+00","none()","27","f"
"47","39","2017-10-19 14:38:42.193+00","none()","27","f"
"48","40","2017-10-19 14:47:46.847+00","breakOverdue(75)","27","f"
"49","41","2017-10-19 14:56:05.691+00","none()","27","f"
"50","42","2017-10-19 14:57:21.314+00","breakOverdue(75)","27","f"
"51","43","2017-10-19 15:04:09.511+00","none()","27","f"
"52","44","2017-10-19 16:46:18.085+00","breakApproaching(45)","27","f"
"53","45","2017-10-19 17:34:49.418+00","none()","27","f"
"54","46","2017-10-19 17:34:49.977+00","breakOverdue(75)","27","f"
"55","47","2017-10-19 17:35:20.301+00","none()","27","f"
"56","48","2017-10-20 08:54:52.589+00","none()","27","f"
"57","49","2017-10-20 12:52:10.451+00","pause(""2017-10-20T12:52:10.442Z/2017-10-20T12:57:10.442Z"", 5)","27","f"
"58","50","2017-10-20 12:52:14.397+00","pause(""2017-10-20T12:52:14.395Z/2017-10-20T12:57:14.395Z"", 5)","27","f"
"59","51","2017-10-20 12:57:28.098+00","unpause(""2017-10-20T12:52:10.442Z/2017-10-20T12:57:10.442Z"", 5)","27","f"
"60","52","2017-10-20 12:57:28.73+00","unpause(""2017-10-20T12:52:14.395Z/2017-10-20T12:57:14.395Z"", 5)","27","f"
"61","1","2017-10-20 13:27:56.733+00","none()","3","f"
"62","2","2017-10-20 14:16:00.332+00","breakApproaching(45)","3","f"
"63","3","2017-10-20 14:22:47.956+00","none()","3","f"
"64","4","2017-10-20 14:32:18.555+00","pause(""2017-10-20T14:32:18.525Z/2017-10-20T14:37:18.525Z"", 5)","3","f"
"65","5","2017-10-20 14:37:18.528+00","unpause(""2017-10-20T14:32:18.525Z/2017-10-20T14:37:18.525Z"", 5)","3","f"
"66","6","2017-10-20 15:29:28.103+00","pause(""2017-10-20T15:29:28.096Z/2017-10-20T15:34:28.096Z"", 5)","3","f"
"67","7","2017-10-20 15:34:28.152+00","unpause(""2017-10-20T15:29:28.096Z/2017-10-20T15:34:28.096Z"", 5)","3","f"
"68","8","2017-10-20 15:43:36.653+00","breakApproaching(45)","3","f"
"69","9","2017-10-20 15:54:46.812+00","pause(""2017-10-20T15:54:46.803Z/2017-10-20T15:59:46.803Z"", 5)","3","f"
"70","10","2017-10-20 15:54:56.449+00","none()","3","f"
"71","11","2017-10-20 15:56:12.029+00","breakApproaching(45)","3","f"
"72","12","2017-10-20 15:56:44.508+00","pause(""2017-10-20T15:56:44.439Z/2017-10-20T16:01:44.439Z"", 5)","3","f"
"73","13","2017-10-20 15:58:43.2+00","breakDue(55)","3","f"
"74","14","2017-10-20 15:59:46.823+00","unpause(""2017-10-20T15:54:46.803Z/2017-10-20T15:59:46.803Z"", 5)","3","f"
"75","15","2017-10-20 16:01:44.463+00","unpause(""2017-10-20T15:56:44.439Z/2017-10-20T16:01:44.439Z"", 5)","3","f"
"76","16","2017-10-20 16:04:15.533+00","none()","3","f"
"77","17","2017-10-20 16:05:31.188+00","breakDue(55)","3","f"
"78","18","2017-10-20 16:11:34.001+00","none()","3","f"
"79","19","2017-10-20 16:40:24.322+00","pause(""2017-10-20T16:40:24.313Z/2017-10-20T16:45:24.313Z"", 5)","3","f"
"80","20","2017-10-20 16:40:26.764+00","pause(""2017-10-20T16:40:26.688Z/2017-10-20T16:45:26.688Z"", 5)","3","f"
"81","21","2017-10-20 16:45:14.475+00","pause(""2017-10-20T16:45:14.469Z/2017-10-20T16:50:14.469Z"", 5)","3","f"
"82","22","2017-10-20 16:45:24.357+00","unpause(""2017-10-20T16:40:24.313Z/2017-10-20T16:45:24.313Z"", 5)","3","f"
"83","23","2017-10-20 16:45:26.689+00","unpause(""2017-10-20T16:40:26.688Z/2017-10-20T16:45:26.688Z"", 5)","3","f"
"84","53","2017-10-23 08:22:26.021+00","none()","27","f"
"85","18","2017-10-18 18:18:06.264+00","breakApproaching(45)","28","f"
"86","19","2017-10-18 18:33:00.226+00","breakDue(55)","28","f"
"87","20","2017-10-18 18:48:09.27+00","breakOverdue(60)","28","f"
"88","21","2017-10-19 07:42:03.25+00","none()","28","f"
"89","22","2017-10-23 09:33:44.743+00","none()","28","f"
"90","1","2017-10-23 09:49:33.454+00","none()","29","f"
"91","2","2017-10-23 10:08:43.054+00","pause(""2017-10-23T10:08:43.037Z/2017-10-23T10:13:43.037Z"", 5)","29","f"
"92","3","2017-10-23 10:08:44.744+00","pause(""2017-10-23T10:08:44.736Z/2017-10-23T10:13:44.736Z"", 5)","29","f"
"93","4","2017-10-23 10:13:43.04+00","unpause(""2017-10-23T10:08:43.037Z/2017-10-23T10:13:43.037Z"", 5)","29","f"
"94","5","2017-10-23 10:13:44.739+00","unpause(""2017-10-23T10:08:44.736Z/2017-10-23T10:13:44.736Z"", 5)","29","f"
"95","6","2017-10-23 10:16:59.309+00","none()","29","f"
"96","7","2017-10-23 10:21:24.933+00","none()","3","f"
"97","24","2017-10-20 16:46:09.175+00","pause(""2017-10-20T16:46:09.168Z/2017-10-20T16:51:09.168Z"", 5)","3","f"
"98","25","2017-10-23 10:14:43.883+00","none()","3","f"
"99","1","2017-10-23 13:17:32.794+00","none()","3","f"
"100","2","2017-10-23 13:25:03.943+00","none()","3","f"
"101","3","2017-10-23 13:25:25.639+00","none()","3","f"
"102","4","2017-10-23 13:34:36.373+00","none()","3","f"
"103","5","2017-10-23 13:39:27.054+00","none()","3","f"
"104","7","2017-10-23 13:44:49.828+00","none()","29","f"
"105","8","2017-10-23 13:46:26.16+00","none()","29","f"
"106","9","2017-10-23 13:50:29.133+00","none()","29","f"
"107","10","2017-10-23 13:54:45.678+00","none()","29","f"
"108","6","2017-10-23 13:59:15.296+00","none()","3","f"
"109","11","2017-10-23 15:29:17.641+00","breakApproaching(45)","29","f"
"110","12","2017-10-23 15:29:34.686+00","none()","29","f"
"111","13","2017-10-23 15:29:48.063+00","breakApproaching(45)","29","f"
"112","14","2017-10-23 15:30:03.312+00","none()","29","f"
"113","15","2017-10-23 15:43:38.891+00","none()","29","f"
"114","16","2017-10-23 15:46:30.058+00","none()","29","f"
"115","17","2017-10-23 15:48:35.348+00","none()","29","f"
"116","18","2017-10-23 15:52:25.108+00","none()","29","f"
"117","19","2017-10-23 16:33:25.792+00","none()","29","f"
"118","1","2017-10-24 08:51:53.289+00","none()","27","f"
"119","2","2017-10-24 08:55:31.374+00","none()","27","f"
"120","1","2017-10-16 21:41:25.398+00","none()","25","f"
"121","2","2017-10-17 20:52:22.952+00","none()","25","f"
"122","3","2017-10-17 21:08:14.989+00","none()","25","f"
"123","4","2017-10-21 08:00:27.194+00","none()","25","f"
"124","5","2017-10-23 11:04:40.197+00","none()","25","f"
"125","6","2017-10-23 11:59:02.404+00","none()","25","f"
"126","7","2017-10-23 14:41:35.429+00","none()","25","f"
"127","8","2017-10-24 09:56:52.141+00","none()","25","f"
"128","9","2017-10-24 10:01:30.642+00","pause(""2017-10-24T10:01:30.634Z/2017-10-24T10:06:30.634Z"", 5)","25","f"
"129","10","2017-10-24 10:06:30.638+00","unpause(""2017-10-24T10:01:30.634Z/2017-10-24T10:06:30.634Z"", 5)","25","f"
"130","11","2017-10-24 10:12:11.499+00","none()","25","f"
"131","12","2017-10-24 12:23:40.052+00","none()","25","f"
"132","13","2017-10-24 12:26:09.528+00","pause(""2017-10-24T12:26:09.518Z/2017-10-24T12:31:09.518Z"", 5)","25","f"
"133","3","2017-10-24 12:14:05.833+00","none()","27","f"
"134","4","2017-10-24 12:14:13.864+00","none()","27","f"
"135","5","2017-10-24 12:14:55.912+00","none()","27","f"
"136","6","2017-10-24 12:15:41.937+00","none()","27","f"
"137","7","2017-10-24 12:16:10.746+00","none()","27","f"
"138","8","2017-10-24 12:16:43.436+00","none()","27","f"
"139","9","2017-10-24 12:25:31.51+00","none()","27","f"
"140","14","2017-10-24 12:28:58.81+00","pause(""2017-10-24T12:28:58.798Z/2017-10-24T12:33:58.798Z"", 5)","25","f"
"141","15","2017-10-24 12:29:01.877+00","pause(""2017-10-24T12:29:01.869Z/2017-10-24T12:34:01.869Z"", 5)","25","f"
"142","16","2017-10-24 12:29:03.053+00","pause(""2017-10-24T12:29:03.041Z/2017-10-24T12:34:03.041Z"", 5)","25","f"
"143","17","2017-10-24 12:29:03.879+00","pause(""2017-10-24T12:29:03.867Z/2017-10-24T12:34:03.867Z"", 5)","25","f"
"144","18","2017-10-24 12:29:06.621+00","pause(""2017-10-24T12:29:06.602Z/2017-10-24T12:34:06.602Z"", 5)","25","f"
"145","19","2017-10-24 12:29:07.304+00","pause(""2017-10-24T12:29:07.285Z/2017-10-24T12:34:07.285Z"", 5)","25","f"
"146","20","2017-10-24 12:31:09.523+00","unpause(""2017-10-24T12:26:09.518Z/2017-10-24T12:31:09.518Z"", 5)","25","f"
"147","21","2017-10-24 12:33:58.803+00","unpause(""2017-10-24T12:28:58.798Z/2017-10-24T12:33:58.798Z"", 5)","25","f"
"148","22","2017-10-24 12:34:01.873+00","unpause(""2017-10-24T12:29:01.869Z/2017-10-24T12:34:01.869Z"", 5)","25","f"
"149","23","2017-10-24 12:34:03.042+00","unpause(""2017-10-24T12:29:03.041Z/2017-10-24T12:34:03.041Z"", 5)","25","f"
"150","24","2017-10-24 12:34:03.873+00","unpause(""2017-10-24T12:29:03.867Z/2017-10-24T12:34:03.867Z"", 5)","25","f"
"151","25","2017-10-24 12:34:06.605+00","unpause(""2017-10-24T12:29:06.602Z/2017-10-24T12:34:06.602Z"", 5)","25","f"
"152","26","2017-10-24 12:34:07.289+00","unpause(""2017-10-24T12:29:07.285Z/2017-10-24T12:34:07.285Z"", 5)","25","f"
"153","27","2017-10-24 12:44:07.214+00","none()","25","f"
"154","10","2017-10-24 13:25:14.072+00","breakApproaching(45)","27","f"
"155","11","2017-10-24 13:33:02.598+00","none()","27","f"
"156","12","2017-10-24 13:34:18.116+00","breakApproaching(45)","27","f"
"157","13","2017-10-24 13:34:33.266+00","none()","27","f"
"158","28","2017-10-24 14:24:17.928+00","breakApproaching(45)","25","f"
"159","29","2017-10-24 14:45:53.019+00","none()","25","f"
"160","30","2017-10-24 14:45:53.038+00","breakOverdue(60)","25","f"
"161","31","2017-10-24 14:46:23.222+00","none()","25","f"
"162","14","2017-10-24 15:29:00.902+00","breakApproaching(45)","27","f"
"163","15","2017-10-24 15:30:43.756+00","none()","27","t"
"164","16","2017-10-24 15:30:44.024+00","breakApproaching(45)","27","t"
"165","17","2017-10-24 15:31:29.39+00","none()","27","t"
"166","18","2017-10-24 16:16:23.655+00","breakApproaching(45)","27","t"
"167","19","2017-10-24 16:31:17.476+00","breakDue(55)","27","t"
"168","20","2017-10-24 16:46:26.061+00","breakOverdue(60)","27","t"
"169","21","2017-10-24 18:04:26.833+00","none()","27","t"
"170","22","2017-10-24 19:58:36.082+00","breakApproaching(45)","27","t"
"171","23","2017-10-24 19:59:36.765+00","none()","27","t"
"172","24","2017-10-24 21:06:02.296+00","breakApproaching(45)","27","t"
"173","25","2017-10-24 21:15:11.835+00","none()","27","t"
"174","26","2017-10-24 21:16:29.79+00","breakApproaching(45)","27","t"
"175","27","2017-10-24 21:21:00.964+00","breakDue(55)","27","t"
"176","28","2017-10-24 21:27:35.732+00","none()","27","t"
"177","29","2017-10-24 22:12:57.963+00","breakApproaching(45)","27","t"
"178","30","2017-10-24 22:27:54.051+00","breakDue(55)","27","t"
"179","31","2017-10-24 22:42:50.166+00","breakOverdue(60)","27","t"
"180","32","2017-10-25 09:23:08.919+00","none()","27","t"
"181","33","2017-10-25 09:24:05.868+00","none()","27","t"
"182","32","2017-10-25 09:27:19.143+00","none()","25","f"
"183","33","2017-10-25 09:32:39.075+00","none()","25","f"
"184","20","2017-10-25 10:37:49.974+00","pause(""2017-10-25T10:37:49.897Z/2017-10-25T10:42:49.897Z"", 5)","29","f"
"185","21","2017-10-25 10:42:49.901+00","unpause(""2017-10-25T10:37:49.897Z/2017-10-25T10:42:49.897Z"", 5)","29","f"
"186","22","2017-10-25 10:45:34.454+00","pause(""2017-10-25T10:45:34.443Z/2017-10-25T10:50:34.443Z"", 5)","29","f"
"187","23","2017-10-25 10:45:40.789+00","pause(""2017-10-25T10:45:40.782Z/2017-10-25T10:50:40.782Z"", 5)","29","f"
"188","24","2017-10-25 10:49:45.883+00","pause(""2017-10-25T10:49:45.797Z/2017-10-25T10:54:45.797Z"", 5)","29","f"
"189","25","2017-10-25 10:49:46.347+00","pause(""2017-10-25T10:49:46.339Z/2017-10-25T10:54:46.339Z"", 5)","29","f"
"190","26","2017-10-25 10:50:34.497+00","unpause(""2017-10-25T10:45:34.443Z/2017-10-25T10:50:34.443Z"", 5)","29","f"
"191","27","2017-10-25 10:50:40.836+00","unpause(""2017-10-25T10:45:40.782Z/2017-10-25T10:50:40.782Z"", 5)","29","f"
"192","28","2017-10-25 10:54:45.8+00","unpause(""2017-10-25T10:49:45.797Z/2017-10-25T10:54:45.797Z"", 5)","29","f"
"193","29","2017-10-25 10:54:46.342+00","unpause(""2017-10-25T10:49:46.339Z/2017-10-25T10:54:46.339Z"", 5)","29","f"
"194","30","2017-10-25 10:57:53.166+00","pause(""2017-10-25T10:57:53.157Z/2017-10-25T11:02:53.157Z"", 5)","29","f"
"195","31","2017-10-25 10:58:49.039+00","none()","29","f"
"196","1","2017-10-25 11:29:10.933+00","none()","3","t"
"197","7","2017-10-25 11:36:47.86+00","none()","3","f"
"198","8","2017-10-25 11:40:16.896+00","none()","3","t"
"199","9","2017-10-25 11:41:12.12+00","none()","3","t"
"200","10","2017-10-25 11:44:15.44+00","none()","3","t"
"201","11","2017-10-25 11:49:37.873+00","none()","3","t"
"202","12","2017-10-25 11:50:27.027+00","none()","3","t"
"203","13","2017-10-25 11:52:27.7+00","none()","3","t"
"204","14","2017-10-25 11:53:38.441+00","none()","3","t"
"205","15","2017-10-25 11:55:02.421+00","none()","3","t"
"206","32","2017-10-25 11:53:25.341+00","pause(""2017-10-25T11:53:25.337Z/2017-10-25T11:58:25.337Z"", 5)","29","f"
"207","33","2017-10-25 11:53:26.02+00","pause(""2017-10-25T11:53:26.017Z/2017-10-25T11:58:26.017Z"", 5)","29","f"
"208","34","2017-10-25 11:53:30.83+00","pause(""2017-10-25T11:53:30.828Z/2017-10-25T11:58:30.828Z"", 5)","29","f"
"209","35","2017-10-25 11:53:31.669+00","pause(""2017-10-25T11:53:31.658Z/2017-10-25T11:58:31.658Z"", 5)","29","f"
"210","36","2017-10-25 12:01:46.735+00","unpause(""2017-10-25T11:53:25.337Z/2017-10-25T11:58:25.337Z"", 5)","29","f"
"211","37","2017-10-25 12:01:47.416+00","unpause(""2017-10-25T11:53:26.017Z/2017-10-25T11:58:26.017Z"", 5)","29","f"
"212","38","2017-10-25 12:01:50.527+00","unpause(""2017-10-25T11:53:30.828Z/2017-10-25T11:58:30.828Z"", 5)","29","f"
"213","39","2017-10-25 12:01:51.357+00","unpause(""2017-10-25T11:53:31.658Z/2017-10-25T11:58:31.658Z"", 5)","29","f"
"214","34","2017-10-25 11:32:02.617+00","breakApproaching(45)","27","t"
"215","35","2017-10-25 11:47:08.28+00","breakDue(55)","27","t"
"216","36","2017-10-25 12:02:14.104+00","breakOverdue(60)","27","t"
"217","37","2017-10-25 12:23:36.288+00","none()","27","t"
"218","38","2017-10-25 12:23:36.956+00","breakOverdue(60)","27","t"
"219","39","2017-10-25 12:24:07.195+00","none()","27","t"
"220","40","2017-10-25 12:47:50.725+00","none()","27","t"
"221","41","2017-10-25 12:48:53.369+00","none()","27","t"
"222","1","2017-10-25 12:51:37.872+00","none()","3","t"
"223","16","2017-10-25 12:55:22.415+00","none()","3","t"
"224","2","2017-10-25 13:03:01.75+00","none()","3","t"
"225","42","2017-10-25 13:09:03.776+00","breakApproaching(45)","27","t"
"226","43","2017-10-25 13:09:28.381+00","none()","27","t"
"227","44","2017-10-25 13:09:29.066+00","breakApproaching(45)","27","t"
"228","45","2017-10-25 13:09:59.261+00","none()","27","t"
"229","46","2017-10-25 13:09:59.443+00","breakApproaching(45)","27","t"
"230","47","2017-10-25 13:10:15.003+00","none()","27","t"
"231","48","2017-10-25 13:10:15.17+00","breakApproaching(45)","27","t"
"232","49","2017-10-25 13:14:26.209+00","none()","27","t"
"233","50","2017-10-25 13:14:26.857+00","breakApproaching(45)","27","t"
"234","1","2017-10-25 13:15:47.593+00","none()","3","t"
"235","51","2017-10-25 13:18:09.461+00","none()","27","t"
"236","52","2017-10-25 13:18:09.666+00","breakApproaching(45)","27","t"
"237","53","2017-10-25 13:19:05.151+00","none()","27","t"
"238","54","2017-10-25 13:19:05.752+00","breakApproaching(45)","27","t"
"239","55","2017-10-25 13:19:41.765+00","none()","27","t"
"240","56","2017-10-25 13:19:41.971+00","breakApproaching(45)","27","t"
"241","57","2017-10-25 13:23:45.107+00","none()","27","t"
"242","58","2017-10-25 13:23:45.816+00","breakApproaching(45)","27","t"
"243","2","2017-10-25 13:24:13.062+00","none()","3","t"
"244","59","2017-10-25 13:46:59.859+00","none()","27","t"
"245","60","2017-10-25 13:47:00.424+00","breakApproaching(45)","27","t"
"246","61","2017-10-25 13:47:18.785+00","none()","27","t"
"247","62","2017-10-25 13:47:19.342+00","breakApproaching(45)","27","t"
"248","63","2017-10-25 13:48:01.626+00","none()","27","t"
"249","64","2017-10-25 13:48:01.826+00","breakApproaching(45)","27","t"
"250","65","2017-10-25 13:49:02.257+00","none()","27","t"
"251","66","2017-10-25 13:49:02.951+00","breakApproaching(45)","27","t"
"252","67","2017-10-25 13:50:03.42+00","none()","27","t"
"253","68","2017-10-25 14:13:23.813+00","none()","27","t"
"254","3","2017-10-25 14:16:30.169+00","breakApproaching(45)","3","t"
"255","4","2017-10-25 14:17:19.55+00","none()","3","t"
"256","5","2017-10-25 14:18:55.972+00","breakApproaching(45)","3","t"
"257","6","2017-10-25 14:23:57.931+00","none()","3","t"
"258","7","2017-10-25 14:25:13.471+00","breakApproaching(45)","3","t"
"259","40","2017-10-25 14:22:51.809+00","pause(""2017-10-25T14:22:51.800Z/2017-10-25T14:27:51.800Z"", 5)","29","f"
"260","41","2017-10-25 14:23:34.945+00","pause(""2017-10-25T14:23:34.944Z/2017-10-25T14:28:34.944Z"", 5)","29","f"
"261","42","2017-10-25 14:24:32.13+00","pause(""2017-10-25T14:24:32.129Z/2017-10-25T14:29:32.129Z"", 5)","29","f"
"262","43","2017-10-25 14:27:51.802+00","unpause(""2017-10-25T14:22:51.800Z/2017-10-25T14:27:51.800Z"", 5)","29","f"
"263","44","2017-10-25 14:28:34.946+00","unpause(""2017-10-25T14:23:34.944Z/2017-10-25T14:28:34.944Z"", 5)","29","f"
"264","45","2017-10-25 14:29:32.13+00","unpause(""2017-10-25T14:24:32.129Z/2017-10-25T14:29:32.129Z"", 5)","29","f"
"265","8","2017-10-25 14:31:31.034+00","breakDue(55)","3","t"
"266","9","2017-10-25 14:35:17.571+00","none()","3","t"
"267","10","2017-10-25 14:36:33.098+00","breakDue(55)","3","t"
"268","11","2017-10-25 14:37:48.566+00","none()","3","t"
"269","1","2017-10-25 17:35:49.587+00","none()","29","t"
"270","2","2017-10-25 18:44:30.118+00","breakApproaching(45)","29","t"
"271","3","2017-10-25 18:52:18.09+00","none()","29","t"
"272","4","2017-10-25 18:53:33.623+00","breakApproaching(45)","29","t"
"273","5","2017-10-25 18:59:20.943+00","breakDue(55)","29","t"
"274","6","2017-10-25 19:07:39.232+00","none()","29","t"
"275","7","2017-10-25 19:08:54.773+00","breakDue(55)","29","t"
"276","8","2017-10-25 19:14:27.051+00","breakOverdue(60)","29","t"
"277","9","2017-10-25 19:16:12.811+00","none()","29","t"
"278","10","2017-10-25 19:17:28.357+00","breakOverdue(60)","29","t"
"279","11","2017-10-25 19:20:16.224+00","none()","29","t"
"280","12","2017-10-25 20:54:44.256+00","breakApproaching(45)","29","t"
"281","13","2017-10-25 21:09:36.189+00","breakDue(55)","29","t"
"282","14","2017-10-25 21:51:01.412+00","none()","29","t"
"283","15","2017-10-25 21:51:02.006+00","breakDue(55)","29","t"
"284","16","2017-10-25 21:51:42.053+00","none()","29","t"
"285","17","2017-10-25 21:51:42.592+00","breakDue(55)","29","t"
"286","18","2017-10-25 22:02:23.379+00","none()","29","t"
"287","19","2017-10-25 22:02:24.165+00","breakDue(55)","29","t"
"288","20","2017-10-25 22:20:41.703+00","none()","29","t"
"289","21","2017-10-25 22:20:42.227+00","breakDue(55)","29","t"
"290","1","2017-10-26 09:50:03.284+00","none()","30","t"
"291","23","2017-06-07 06:43:59.148+00","none()","28","f"
"292","1","2017-10-26 09:43:58.498+00","none()","31","t"
"293","2","2017-10-26 10:20:32.73+00","none()","31","t"
"294","3","2017-10-26 10:28:40.514+00","none()","31","t"
"295","4","2017-10-26 10:29:49.444+00","none()","31","t"
"296","2","2017-10-26 11:13:50.831+00","none()","30","t"
"297","34","2017-10-26 11:31:07.865+00","none()","25","f"
"298","24","2017-10-26 10:06:41.604+00","none()","28","f"
"299","25","2017-10-26 10:52:37.235+00","none()","28","f"
"300","3","2017-10-26 11:47:13.995+00","none()","30","t"
"301","4","2017-10-26 12:27:00.302+00","breakApproaching(45)","30","t"
"302","5","2017-10-26 12:42:09.239+00","breakDue(55)","30","t"
"303","6","2017-10-26 12:55:52.251+00","none()","30","t"
"304","7","2017-10-26 12:55:52.771+00","breakDue(55)","30","t"
"305","8","2017-10-26 12:57:08.121+00","breakOverdue(60)","30","t"
"306","9","2017-10-26 13:54:39.698+00","none()","30","t"
"307","10","2017-10-26 13:54:40.275+00","breakOverdue(60)","30","t"
"308","11","2017-10-26 14:43:21.907+00","none()","30","t"
"309","12","2017-10-26 14:43:22.574+00","breakOverdue(60)","30","t"
"310","1","2017-10-26 11:03:10.742+00","none()","28","t"
"311","13","2017-10-26 15:49:31.804+00","none()","30","t"
"312","14","2017-10-26 15:49:32.411+00","breakOverdue(60)","30","t"
"313","15","2017-10-26 20:25:04.082+00","none()","30","t"
"314","16","2017-10-26 20:25:09.454+00","breakOverdue(60)","30","t"
"315","17","2017-10-26 22:35:05.493+00","none()","30","t"
"316","18","2017-10-26 22:35:06.144+00","breakOverdue(60)","30","t"
"317","19","2017-10-27 05:39:05.634+00","none()","30","t"
"318","20","2017-10-27 07:00:18.205+00","none()","30","t"
"319","21","2017-10-27 07:39:21.108+00","none()","30","t"
"320","5","2017-10-26 15:50:01.5+00","breakApproaching(45)","31","t"
"321","6","2017-10-26 16:05:08.345+00","breakDue(55)","31","t"
"322","7","2017-10-26 16:20:00.225+00","breakOverdue(60)","31","t"
"323","8","2017-10-27 09:54:46.313+00","none()","31","t"
"324","9","2017-10-27 09:54:46.611+00","breakOverdue(60)","31","t"
"325","10","2017-10-27 09:55:01.867+00","none()","31","t"
"326","22","2017-10-27 10:20:58.063+00","none()","29","t"
"327","22","2017-10-27 08:36:24.196+00","none()","30","t"
"328","23","2017-10-27 08:54:29.684+00","breakApproaching(45)","30","t"
"329","24","2017-10-27 09:03:32.162+00","none()","30","t"
"330","25","2017-10-27 09:39:01.428+00","none()","30","t"
"331","26","2017-10-27 10:29:57.726+00","none()","30","t"
"332","27","2017-10-27 11:00:02.875+00","none()","30","t"
"333","23","2017-10-27 12:05:10.7+00","none()","29","t"
"334","28","2017-10-27 11:31:01.804+00","none()","30","t"
"335","29","2017-10-27 12:01:05.885+00","none()","30","t"
"336","30","2017-10-27 12:29:03.998+00","none()","30","t"
"337","31","2017-10-27 12:59:26.302+00","none()","30","t"
"338","32","2017-10-27 13:29:28.507+00","none()","30","t"
"339","1","2017-10-27 10:14:50.139+00","none()","29","t"
"340","2","2017-10-27 12:14:06.647+00","none()","29","t"
"341","1","2017-10-27 13:39:00.15+00","none()","33","t"
